Action 	time 	type 	seq 	size	ack
rcv	0.0	S	39168	0	0	
snd	0.0	SA	55178	0	39168	
rcv	0.0	A	39169	0	55178	
snd	0.0	A	55179	0	39169	
rcv	0.002	D	39169	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39269	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39319	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39369	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39419	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39469	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39519	50	55179	
snd	0.002	A	55179	0	39219	
rcv	0.002	D	39219	50	55179	
snd	0.002	A	55179	0	39569	
rcv	0.002	D	39569	50	55179	
snd	0.002	A	55179	0	39619	
rcv	0.002	D	39619	50	55179	
snd	0.002	A	55179	0	39669	
rcv	0.003	D	39719	50	55179	
snd	0.003	A	55179	0	39669	
rcv	0.003	D	39769	50	55179	
snd	0.003	A	55179	0	39669	
rcv	0.003	D	39819	50	55179	
snd	0.003	A	55179	0	39669	
rcv	0.003	D	39869	50	55179	
snd	0.003	A	55179	0	39669	
rcv	0.003	D	39919	50	55179	
snd	0.003	A	55179	0	39669	
rcv	0.003	D	39669	50	55179	
snd	0.003	A	55179	0	39969	
rcv	0.003	D	39969	50	55179	
snd	0.003	A	55179	0	40019	
rcv	0.003	D	40019	50	55179	
snd	0.003	A	55179	0	40069	
rcv	0.003	D	40069	50	55179	
snd	0.003	A	55179	0	40119	
rcv	0.003	D	40119	50	55179	
snd	0.003	A	55179	0	40169	
rcv	0.003	D	40169	50	55179	
snd	0.003	A	55179	0	40219	
rcv	0.004	D	40269	50	55179	
snd	0.004	A	55179	0	40219	
rcv	0.004	D	40319	50	55179	
snd	0.004	A	55179	0	40219	
rcv	0.004	D	40369	50	55179	
snd	0.004	A	55179	0	40219	
rcv	0.004	D	40419	50	55179	
snd	0.004	A	55179	0	40219	
rcv	0.004	D	40469	50	55179	
snd	0.004	A	55179	0	40219	
rcv	0.004	D	40219	50	55179	
snd	0.004	A	55179	0	40519	
rcv	0.004	D	40519	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40619	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40669	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40719	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40769	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40819	50	55179	
snd	0.004	A	55179	0	40569	
rcv	0.004	D	40569	50	55179	
snd	0.004	A	55179	0	40869	
rcv	0.004	D	40869	50	55179	
snd	0.004	A	55179	0	40919	
rcv	0.004	D	40919	50	55179	
snd	0.004	A	55179	0	40969	
rcv	0.004	D	40969	50	55179	
snd	0.004	A	55179	0	41019	
rcv	0.004	D	41019	50	55179	
snd	0.004	A	55179	0	41069	
rcv	0.004	D	41069	50	55179	
snd	0.004	A	55179	0	41119	
rcv	0.004	D	41119	4	55179	
snd	0.004	A	55179	0	41123	
rcv	0.005	F	41123	0	55179	
snd	0.011	FA	55179	0	41123	
Amount of (original) Data Received (in bytes): 1954
Number of (original) Data Segments Received: 40
Number of duplicate segments received (if any): 0
