Action 	time 	type 	seq 	size	ack
snd	0.0	S	39168	0	0	
rcv	0.0	SA	55178	0	39168	
snd	0.0	A	39169	0	55178	
rcv	0.001	A	55179	0	39169	
snd	0.002	D	39169	50	55179	
drop	0.002	D	39219	50	55179	
snd	0.002	D	39269	50	55179	
snd	0.002	D	39319	50	55179	
snd	0.002	D	39369	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39419	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39469	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39519	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39219	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39569	50	55179	
rcv	0.002	A	55179	0	39219	
snd	0.002	D	39619	50	55179	
rcv	0.002	A	55179	0	39219	
drop	0.002	D	39669	50	55179	
rcv	0.002	A	55179	0	39569	
snd	0.003	D	39719	50	55179	
rcv	0.003	A	55179	0	39619	
snd	0.003	D	39769	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	39819	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	39869	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	39919	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	39669	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	39969	50	55179	
rcv	0.003	A	55179	0	39669	
snd	0.003	D	40019	50	55179	
snd	0.003	D	40069	50	55179	
rcv	0.003	A	55179	0	39969	
snd	0.003	D	40119	50	55179	
rcv	0.003	A	55179	0	40019	
snd	0.003	D	40169	50	55179	
rcv	0.003	A	55179	0	40069	
drop	0.003	D	40219	50	55179	
rcv	0.004	A	55179	0	40119	
snd	0.004	D	40269	50	55179	
rcv	0.004	A	55179	0	40169	
snd	0.004	D	40319	50	55179	
rcv	0.004	A	55179	0	40219	
snd	0.004	D	40369	50	55179	
rcv	0.004	A	55179	0	40219	
snd	0.004	D	40419	50	55179	
rcv	0.004	A	55179	0	40219	
snd	0.004	D	40469	50	55179	
rcv	0.004	A	55179	0	40219	
snd	0.004	D	40219	50	55179	
rcv	0.004	A	55179	0	40219	
snd	0.004	D	40519	50	55179	
rcv	0.004	A	55179	0	40219	
drop	0.004	D	40569	50	55179	
rcv	0.004	A	55179	0	40519	
snd	0.004	D	40619	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40669	50	55179	
snd	0.004	D	40719	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40769	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40819	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40569	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40869	50	55179	
rcv	0.004	A	55179	0	40569	
snd	0.004	D	40919	50	55179	
snd	0.004	D	40969	50	55179	
rcv	0.004	A	55179	0	40869	
snd	0.004	D	41019	50	55179	
rcv	0.004	A	55179	0	40919	
snd	0.004	D	41069	50	55179	
rcv	0.004	A	55179	0	40969	
snd	0.004	D	41119	4	55179	
rcv	0.004	A	55179	0	41019	
rcv	0.004	A	55179	0	41069	
rcv	0.004	A	55179	0	41119	
rcv	0.004	A	55179	0	41123	
snd	0.005	F	41123	0	55179	
rcv	0.011	A	55179	0	41123	
rcv	0.011	FA	55179	0	41123	
snd	0.013	A	41124	0	55179	
Amount of (original) Data Transferred (in bytes): 1954
Number of Data Segments Sent (excluding retransmissions): 40
Number of (all) Packets Dropped (by the PLD module): 4
Number of Retransmitted Segments: 4
Number of Duplicate Acknowledgements received: 22
